Synpcc7942_1294	CHLRE16g665364v5
Synpcc7942_1367	CHLRE08g384000v5
Synpcc7942_1367	CHLRE01g038500v5
Synpcc7942_1367	CHLRE07g340850v5
Synpcc7942_1367	CHLRE01g054250v5
Synpcc7942_1367	CHLRE07g354400v5
Synpcc7942_1367	CHLRE07g354350v5
Synpcc7942_1367	CHLRE07g354450v5
Synpcc7942_1367	CHLRE14g626400v5
Synpcc7942_0684	CHLRE03g172000v5
Synpcc7942_1573	CHLRE12g495850v5
Synpcc7942_1596	CHLRE07g325725v5
Synpcc7942_1596	CHLRE14g610501v5
Synpcc7942_0874	CHLRE03g146567v5
Synpcc7942_0874	CHLRE03g162150v5
Synpcc7942_2580	CHLRE06g250100v5
Synpcc7942_2468	CHLRE06g250100v5
Synpcc7942_2073	CHLRE09g393200v5
Synpcc7942_2503	CHLRE01g015350v5
Synpcc7942_0287	CHLRE07g330400v5
Synpcc7942_1660	CHLRE07g330400v5
Synpcc7942_0287	CHLRE10g432550v5
Synpcc7942_1660	CHLRE10g432550v5
Synpcc7942_0287	CHLRE01g022150v5
Synpcc7942_1660	CHLRE01g022150v5
Synpcc7942_0287	CHLRE11g468353v5
Synpcc7942_1660	CHLRE11g468353v5
Synpcc7942_0663	CHLRE12g489900v5
Synpcc7942_2195	CHLRE12g489900v5
Synpcc7942_0663	CHLRE13g574400v5
Synpcc7942_2195	CHLRE13g574400v5
Synpcc7942_0663	CHLRE07g320750v5
Synpcc7942_2195	CHLRE07g320750v5
Synpcc7942_0663	CHLRE16g649050v5
Synpcc7942_2195	CHLRE16g649050v5
Synpcc7942_0663	CHLRE16g688901v5
Synpcc7942_2195	CHLRE16g688901v5
Synpcc7942_0663	CHLRE13g564800v5
Synpcc7942_2195	CHLRE13g564800v5
Synpcc7942_0663	CHLRE14g612200v5
Synpcc7942_2195	CHLRE14g612200v5
Synpcc7942_0663	CHLRE09g387200v5
Synpcc7942_2195	CHLRE09g387200v5
Synpcc7942_0663	CHLRE09g387350v5
Synpcc7942_2195	CHLRE09g387350v5
Synpcc7942_0663	CHLRE09g388650v5
Synpcc7942_2195	CHLRE09g388650v5
Synpcc7942_0663	CHLRE07g348650v5
Synpcc7942_2195	CHLRE07g348650v5
Synpcc7942_0663	CHLRE12g547351v5
Synpcc7942_2195	CHLRE12g547351v5
Synpcc7942_0663	CHLRE05g236650v5
Synpcc7942_2195	CHLRE05g236650v5
Synpcc7942_0663	CHLRE05g237800v5
Synpcc7942_2195	CHLRE05g237800v5
Synpcc7942_0663	CHLRE11g479000v5
Synpcc7942_2195	CHLRE11g479000v5
Synpcc7942_0663	CHLRE08g358571v5
Synpcc7942_2195	CHLRE08g358571v5
Synpcc7942_0663	CHLRE02g085100v5
Synpcc7942_2195	CHLRE02g085100v5
Synpcc7942_0663	CHLRE09g412600v5
Synpcc7942_2195	CHLRE09g412600v5
Synpcc7942_0663	CHLRE11g477400v5
Synpcc7942_2195	CHLRE11g477400v5
Synpcc7942_0663	CHLRE11g467678v5
Synpcc7942_2195	CHLRE11g467678v5
Synpcc7942_0663	CHLRE07g325720v5
Synpcc7942_2195	CHLRE07g325720v5
Synpcc7942_0663	CHLRE12g548050v5
Synpcc7942_2195	CHLRE12g548050v5
Synpcc7942_0663	CHLRE16g682552v5
Synpcc7942_2195	CHLRE16g682552v5
Synpcc7942_0663	CHLRE01g021700v5
Synpcc7942_2195	CHLRE01g021700v5
Synpcc7942_0663	CHLRE06g260750v5
Synpcc7942_2195	CHLRE06g260750v5
Synpcc7942_0663	CHLRE06g259500v5
Synpcc7942_2195	CHLRE06g259500v5
Synpcc7942_0663	CHLRE06g260550v5
Synpcc7942_2195	CHLRE06g260550v5
Synpcc7942_0663	CHLRE14g629241v5
Synpcc7942_2195	CHLRE14g629241v5
Synpcc7942_0663	CHLRE14g628850v5
Synpcc7942_2195	CHLRE14g628850v5
Synpcc7942_0663	CHLRE14g629150v5
Synpcc7942_2195	CHLRE14g629150v5
Synpcc7942_0663	CHLRE14g628533v5
Synpcc7942_2195	CHLRE14g628533v5
Synpcc7942_0663	CHLRE02g117000v5
Synpcc7942_2195	CHLRE02g117000v5
Synpcc7942_0663	CHLRE02g100450v5
Synpcc7942_2195	CHLRE02g100450v5
Synpcc7942_0663	CHLRE02g146450v5
Synpcc7942_2195	CHLRE02g146450v5
Synpcc7942_0663	CHLRE02g115450v5
Synpcc7942_2195	CHLRE02g115450v5
Synpcc7942_1571	CHLRE17g711250v5
Synpcc7942_1571	CHLRE12g549300v5
Synpcc7942_1793	CHLRE01g052250v5
Synpcc7942_0427	CHLRE03g151400v5
Synpcc7942_0427	CHLRE16g674500v5
Synpcc7942_0427	CHLRE14g618400v5
Synpcc7942_0427	CHLRE17g721000v5
Synpcc7942_1699	CHLRE12g523250v5
Synpcc7942_1699	CHLRE14g625350v5
Synpcc7942_1699	CHLRE10g445850v5
Synpcc7942_0790	CHLRE09g392350v5
Synpcc7942_0679	CHLRE09g392350v5
Synpcc7942_1999	CHLRE09g392350v5
Synpcc7942_1388	CHLRE09g415700v5
Synpcc7942_1136	CHLRE02g076200v5
Synpcc7942_1380	CHLRE17g723350v5
Synpcc7942_1380	CHLRE10g457750v5
Synpcc7942_1111	CHLRE01g045600v5
Synpcc7942_1121	CHLRE01g045600v5
Synpcc7942_0780	CHLRE01g045600v5
Synpcc7942_1356	CHLRE10g446450v5
Synpcc7942_1110	CHLRE10g446450v5
Synpcc7942_1815	CHLRE10g446450v5
Synpcc7942_1817	CHLRE10g446450v5
Synpcc7942_1404	CHLRE10g446450v5
Synpcc7942_B2647	CHLRE10g446450v5
Synpcc7942_1873	CHLRE10g446450v5
Synpcc7942_2305	CHLRE10g446450v5
Synpcc7942_1012	CHLRE10g446450v5
Synpcc7942_2466	CHLRE10g446450v5
Synpcc7942_0556	CHLRE10g446450v5
Synpcc7942_1453	CHLRE10g446450v5
Synpcc7942_2416	CHLRE10g446450v5
Synpcc7942_0095	CHLRE10g446450v5
Synpcc7942_1860	CHLRE10g446450v5
Synpcc7942_0151	CHLRE10g446450v5
Synpcc7942_0856	CHLRE10g446450v5
Synpcc7942_1221	CHLRE10g446450v5
Synpcc7942_0855	CHLRE10g446450v5
Synpcc7942_B2644	CHLRE10g446450v5
Synpcc7942_1693	CHLRE10g446450v5
Synpcc7942_0365	CHLRE10g446450v5
Synpcc7942_2264	CHLRE10g446450v5
Synpcc7942_0859	CHLRE16g678900v5
Synpcc7942_1014	CHLRE16g678900v5
Synpcc7942_1125	CHLRE11g469400v5
Synpcc7942_1256	CHLRE13g584850v5
Synpcc7942_1256	CHLRE15g636800v5
Synpcc7942_1256	CHLRE15g636750v5
Synpcc7942_2139	CHLRE12g508850v5
Synpcc7942_2354	CHLRE14g616100v5
Synpcc7942_2354	CHLRE11g478750v5
Synpcc7942_2354	CHLRE11g478700v5
Synpcc7942_2354	CHLRE11g479050v5
Synpcc7942_2354	CHLRE16g675500v5
Synpcc7942_2354	CHLRE16g675550v5
Synpcc7942_2354	CHLRE13g586300v5
Synpcc7942_1588	CHLRE09g402051v5
Synpcc7942_1576	CHLRE09g402051v5
Synpcc7942_2105	CHLRE06g310850v5
Synpcc7942_1236	CHLRE06g310850v5
Synpcc7942_1491	CHLRE06g310850v5
Synpcc7942_1237	CHLRE06g310850v5
Synpcc7942_1490	CHLRE06g310850v5
Synpcc7942_B2628	CHLRE06g310850v5
Synpcc7942_1414	CHLRE06g310850v5
Synpcc7942_0564	CHLRE06g310850v5
Synpcc7942_0249	CHLRE06g310850v5
Synpcc7942_1305	CHLRE06g310850v5
Synpcc7942_2236	CHLRE06g310850v5
Synpcc7942_0815	CHLRE06g310850v5
Synpcc7942_2492	CHLRE06g310850v5
Synpcc7942_1893	CHLRE06g310850v5
Synpcc7942_2493	CHLRE06g310850v5
Synpcc7942_0513	CHLRE06g310850v5
Synpcc7942_0068	CHLRE06g310850v5
Synpcc7942_1244	CHLRE06g310850v5
Synpcc7942_0178	CHLRE06g310850v5
Synpcc7942_2148	CHLRE06g310850v5
Synpcc7942_1317	CHLRE06g310850v5
Synpcc7942_2574	CHLRE06g310850v5
Synpcc7942_2107	CHLRE06g310850v5
Synpcc7942_1239	CHLRE06g310850v5
Synpcc7942_1488	CHLRE06g310850v5
Synpcc7942_B2629	CHLRE06g310850v5
Synpcc7942_0848	CHLRE06g310850v5
Synpcc7942_1406	CHLRE06g273750v5
Synpcc7942_0960	CHLRE06g273750v5
Synpcc7942_0947	CHLRE06g273750v5
Synpcc7942_1680	CHLRE06g273750v5
Synpcc7942_2401	CHLRE14g616400v5
Synpcc7942_2401	CHLRE07g318850v5
Synpcc7942_2401	CHLRE07g318800v5
Synpcc7942_2401	CHLRE07g318600v5
Synpcc7942_1021	CHLRE13g586000v5
Synpcc7942_0640	CHLRE16g669525v5
Synpcc7942_0782	CHLRE16g669525v5
Synpcc7942_2561	CHLRE04g217924v5
Synpcc7942_2561	CHLRE04g217939v5
Synpcc7942_2561	CHLRE04g217942v5
Synpcc7942_2561	CHLRE04g217945v5
Synpcc7942_2561	CHLRE09g397250v5
Synpcc7942_0587	CHLRE07g350500v5
Synpcc7942_0811	CHLRE12g526701v5
Synpcc7942_1719	CHLRE02g143250v5
Synpcc7942_2124	CHLRE11g467785v5
Synpcc7942_2124	CHLRE11g469600v5
Synpcc7942_2124	CHLRE11g467706v5
Synpcc7942_2124	CHLRE02g116950v5
Synpcc7942_2124	CHLRE06g290400v5
Synpcc7942_1789	CHLRE01g019950v5
Synpcc7942_0171	CHLRE16g664250v5
Synpcc7942_B2623	CHLRE16g685550v5
Synpcc7942_B2664	CHLRE16g685550v5
Synpcc7942_1466	CHLRE16g685550v5
Synpcc7942_B2623	CHLRE03g172850v5
Synpcc7942_B2664	CHLRE03g172850v5
Synpcc7942_1466	CHLRE03g172850v5
Synpcc7942_B2623	CHLRE08g367600v5
Synpcc7942_B2664	CHLRE08g367600v5
Synpcc7942_1466	CHLRE08g367600v5
Synpcc7942_1297	CHLRE06g251400v5
Synpcc7942_1820	CHLRE01g035450v5
Synpcc7942_1820	CHLRE06g252401v5
Synpcc7942_0771	CHLRE10g456750v5
Synpcc7942_0771	CHLRE01g044700v5
Synpcc7942_1522	CHLRE07g322176v5
Synpcc7942_1214	CHLRE03g197750v5
Synpcc7942_1214	CHLRE10g458450v5
Synpcc7942_0637	CHLRE02g090850v5
Synpcc7942_1089	CHLRE02g090850v5
Synpcc7942_0260	CHLRE10g465550v5
Synpcc7942_0260	CHLRE43g760497v5
Synpcc7942_1813	CHLRE12g514850v5
Synpcc7942_0094	CHLRE06g251800v5
Synpcc7942_1324	CHLRE06g289950v5
