NCU05782	Ddx43
NCU07839	Ddx17
NCU07839	Ddx5
NCU01369	Ddx3x
NCU01369	D1Pas1
NCU01369	Ddx3y
NCU09093	Ddx4
NCU00919	Ddx52
NCU02803	Ddx23
NCU04504	Ddx47
NCU06418	Ddx49
NCU11175	Ddx27
NCU07712	Ddx54
NCU03380	Ddx55
NCU09349	Ddx18
NCU07420	Eif4a1
NCU07420	Eif4a2
NCU01234	Gm5580
NCU01234	Gm8994
NCU01234	Eif4a3
NCU01160	Ddx19b
NCU01160	Ddx19a
NCU01160	Ddx25
NCU06149	Ddx20
NCU06149	Ddx6
NCU02283	Dclk3
NCU09123	Dclk3
NCU09212	Dclk3
NCU02283	Dclk2
NCU09123	Dclk2
NCU09212	Dclk2
NCU02283	Dclk1
NCU09123	Dclk1
NCU09212	Dclk1
NCU02751	Chek2
NCU02814	Chek2
NCU06486	Chek2
NCU02435	Hist1h2ba
NCU02435	Hist3h2ba
NCU02435	Hist2h2bb
NCU02435	Hist1h2bp
NCU02435	Hist1h2bm
NCU02435	Hist1h2be
NCU02435	Hist1h2bg
NCU02435	Hist1h2bh
NCU02435	Hist1h2bc
NCU02435	Hist1h2bb
NCU02435	Hist1h2bq
NCU02435	Hist1h2br
NCU02435	Hist1h2bl
NCU02435	Hist1h2bf
NCU02435	Hist1h2bj
NCU02435	Hist1h2bn
NCU02435	Hist1h2bk
NCU02435	Hist2h2be
NCU02437	H2afx
NCU02437	Hist2h2ab
NCU02437	H2afj
NCU02437	Hist2h2ac
NCU02437	Hist1h2aa
NCU02437	Hist2h2aa1
NCU02437	Hist2h2aa2
NCU02437	Hist1h2af
NCU02437	Hist1h2ag
NCU02437	Hist1h2ap
NCU02437	Hist1h2ao
NCU02437	Hist1h2ad
NCU02437	Hist1h2ac
NCU02437	Hist1h2ai
NCU02437	Hist1h2ab
NCU02437	Hist1h2an
NCU02437	Hist1h2ae
NCU02437	Hist1h2ak
NCU02437	Hist1h2ah
NCU02437	Hist3h2a
NCU01635	Hist1h3a
NCU01635	Hist1h3h
NCU01635	Hist1h3g
NCU01635	Hist1h3i
NCU01635	Hist2h3c1
NCU01635	Hist1h3c
NCU01635	Hist1h3b
NCU01635	Hist1h3f
NCU01635	Hist2h3b
NCU01635	Hist1h3e
NCU01635	Hist1h3d
NCU01635	Hist2h3c2
NCU01635	H3f3b
NCU01635	H3f3a
NCU08062	Gm45753
NCU02031	Gm45753
NCU09636	Gm45753
NCU09419	Gm45753
NCU08062	Cyp4v3
NCU02031	Cyp4v3
NCU09636	Cyp4v3
NCU09419	Cyp4v3
NCU08062	Cyp4f40
NCU02031	Cyp4f40
NCU09636	Cyp4f40
NCU09419	Cyp4f40
NCU08062	Cyp4f15
NCU02031	Cyp4f15
NCU09636	Cyp4f15
NCU09419	Cyp4f15
NCU08062	Cyp4f14
NCU02031	Cyp4f14
NCU09636	Cyp4f14
NCU09419	Cyp4f14
NCU08062	Cyp4f18
NCU02031	Cyp4f18
NCU09636	Cyp4f18
NCU09419	Cyp4f18
NCU08062	Cyp4f13
NCU02031	Cyp4f13
NCU09636	Cyp4f13
NCU09419	Cyp4f13
NCU08062	Cyp4f17
NCU02031	Cyp4f17
NCU09636	Cyp4f17
NCU09419	Cyp4f17
NCU08062	Cyp4f37
NCU02031	Cyp4f37
NCU09636	Cyp4f37
NCU09419	Cyp4f37
NCU08062	Cyp4f16
NCU02031	Cyp4f16
NCU09636	Cyp4f16
NCU09419	Cyp4f16
NCU08062	Cyp4f39
NCU02031	Cyp4f39
NCU09636	Cyp4f39
NCU09419	Cyp4f39
NCU08062	Cyp4x1
NCU02031	Cyp4x1
NCU09636	Cyp4x1
NCU09419	Cyp4x1
NCU08062	Cyp4a14
NCU02031	Cyp4a14
NCU09636	Cyp4a14
NCU09419	Cyp4a14
NCU08062	Cyp4a30b
NCU02031	Cyp4a30b
NCU09636	Cyp4a30b
NCU09419	Cyp4a30b
NCU08062	Cyp4a32
NCU02031	Cyp4a32
NCU09636	Cyp4a32
NCU09419	Cyp4a32
NCU08062	Cyp4a10
NCU02031	Cyp4a10
NCU09636	Cyp4a10
