Synpcc7942_1294	CHEK2
Synpcc7942_1367	CYP4V2
Synpcc7942_1367	CYP4F12
Synpcc7942_1367	CYP4F11
Synpcc7942_1367	CYP4F8
Synpcc7942_1367	CYP4F3
Synpcc7942_1367	CYP4F2
Synpcc7942_1367	CYP4F22
Synpcc7942_1367	CYP4Z1
Synpcc7942_1367	CYP4X1
Synpcc7942_1367	CYP4A11
Synpcc7942_1367	CYP4A22
Synpcc7942_1367	CYP4B1
Synpcc7942_0684	CBR4
Synpcc7942_1596	HSD17B14
Synpcc7942_0874	AC013394.1
Synpcc7942_2073	HSPA9
Synpcc7942_2503	RDH12
Synpcc7942_2503	AL049779.1
Synpcc7942_2503	RDH11
Synpcc7942_2503	RDH13
Synpcc7942_2503	RDH13
Synpcc7942_2503	RDH13
Synpcc7942_2503	RDH13
Synpcc7942_2503	RDH13
Synpcc7942_2503	RDH13
Synpcc7942_2503	RDH13
Synpcc7942_2503	RDH13
Synpcc7942_2503	RDH13
Synpcc7942_2503	RDH13
Synpcc7942_2503	DHRS13
Synpcc7942_2503	RDH14
Synpcc7942_0287	KCND3
Synpcc7942_0287	KCND2
Synpcc7942_0287	KCND1
Synpcc7942_0287	KCNC4
Synpcc7942_0287	KCNC2
Synpcc7942_0287	KCNC1
Synpcc7942_0287	KCNC3
Synpcc7942_0287	KCNF1
Synpcc7942_0287	KCNS1
Synpcc7942_0287	KCNS3
Synpcc7942_0287	KCNS2
Synpcc7942_0287	KCNV1
Synpcc7942_0287	KCNG3
Synpcc7942_0287	KCNG1
Synpcc7942_0287	KCNG4
Synpcc7942_0287	KCNG2
Synpcc7942_0287	KCNB2
Synpcc7942_0287	KCNB1
Synpcc7942_0287	KCNA7
Synpcc7942_0287	KCNA2
Synpcc7942_0287	KCNA1
Synpcc7942_0287	KCNA6
Synpcc7942_0287	KCNA4
Synpcc7942_0287	KCNA3
Synpcc7942_0287	KCNA5
Synpcc7942_0287	KCNA10
Synpcc7942_1660	KCND3
Synpcc7942_1660	KCND2
Synpcc7942_1660	KCND1
Synpcc7942_1660	KCNC4
